Total	Test_Condition	TPR	FPR	q
22	Unbalanced OLS	0.209752888295194	0.0322492874082961	0.06
24	Balanced	0.735442033155754	0.0510848572409404	0.06
24	Unbalanced JS	0.223023644875165	0.0387320228055522	0.06
24	Unbalanced OLS	0.197886705626768	0.0314904782124072	0.06
4	Balanced	0.231199399710395	0.0136837241344586	0.07
4	Unbalanced JS	0.286809414516425	0.068673814587607	0.07
4	Unbalanced OLS	0.207941872583412	0.0410744390603401	0.07
6	Balanced	0.377980584348994	0.0400182060599505	0.07
6	Unbalanced JS	0.312681537036305	0.0414602392423388	0.07
6	Unbalanced OLS	0.257491326559927	0.0272111933573813	0.07
8	Balanced	0.403058477654172	0.0301093441654401	0.07
8	Unbalanced JS	0.256064812113541	0.0551236257943391	0.07
8	Unbalanced OLS	0.211546423431258	0.0441774779764416	0.07
10	Balanced	0.46391637721323	0.028719819319476	0.07
10	Unbalanced JS	0.276636254164871	0.0467983810229453	0.07
10	Unbalanced OLS	0.237324741296884	0.0352440274049167	0.07
12	Balanced	0.571899742391675	0.0634572587639233	0.07
12	Unbalanced JS	0.252112451962779	0.0432489543304849	0.07
12	Unbalanced OLS	0.217677785245814	0.0345860209160804	0.07
14	Balanced	0.576224761980764	0.0527968096023042	0.07
14	Unbalanced JS	0.237968853988484	0.0574363228468525	0.07
14	Unbalanced OLS	0.207270411970245	0.0478099188986595	0.07
16	Balanced	0.616930638849086	0.0577464925459998	0.07
16	Unbalanced JS	0.238339701860429	0.049534220003387	0.07
16	Unbalanced OLS	0.207814298852906	0.0423363405290961	0.07
18	Balanced	0.679010889439698	0.0529853059403694	0.07
18	Unbalanced JS	0.225257029278657	0.0304845229288846	0.07
18	Unbalanced OLS	0.197793321014316	0.0258831996543858	0.07
20	Balanced	0.690023088453626	0.0660133292552383	0.07
20	Unbalanced JS	0.201319089585978	0.0215070650006546	0.07
20	Unbalanced OLS	0.176460288561353	0.0179285755648854	0.07
22	Balanced	0.712409383810718	0.067331074329825	0.07
22	Unbalanced JS	0.245294433375069	0.0397125075640086	0.07
22	Unbalanced OLS	0.21957975991821	0.0344736925129479	0.07
24	Balanced	0.751767121486284	0.0590077690333313	0.07
24	Unbalanced JS	0.233685234383153	0.0425914663992627	0.07
24	Unbalanced OLS	0.208279151027034	0.0352553253079015	0.07
4	Balanced	0.240737689546424	0.0154288547843139	0.08
4	Unbalanced JS	0.297128776382804	0.0732210582678893	0.08
4	Unbalanced OLS	0.216787710759319	0.0442006876131678	0.08
6	Balanced	0.391721211104004	0.0442191395335447	0.08
6	Unbalanced JS	0.32425778698829	0.0455817249812106	0.08
6	Unbalanced OLS	0.267973927138845	0.0305140742464026	0.08
